figure_id,chapter,ppt_slide,section,figure_title,figure_type,status,target_file,source_data,original_source,owner,notes
CH4-F00,4,Slide 4-0,4.0,第4章全过程诊断主线图,diagram_to_draw,ready,E:\11.16\thesis_writing_repo\figures\ch4\diagrams\CH4-F00_diagnosis_workflow.png,,E:\11.16\thesis_writing_repo\ppt\part4_model_diagnosis_ppt_text.md,Codex,脚本生成可继续美化
CH4-F01,4,Slide 4-1,4.1,连续场景滑动窗口与场景级聚合示意图,diagram_to_draw,ready,E:\11.16\thesis_writing_repo\figures\ch4\diagrams\CH4-F01_window_scene_aggregation.png,,E:\11.16\thesis_writing_repo\chapters\ch4_task_metric_definition.md,Codex,突出窗口证据到场景诊断
CH4-F02,4,Slide 4-2,4.1/4.2,V/S/C/D 节点集合关系图,diagram_to_draw,ready,E:\11.16\thesis_writing_repo\figures\ch4\diagrams\CH4-F02_vscd_node_sets.png,,E:\11.16\script2_new\chapter4_diagnosis_model\outputs\thesis_results,Codex,显示 V=128 S=25 C=50 D=场景缺陷节点
CH4-F03,4,Slide 4-3,4.1/4.2,time-gated 场景与滑动窗口标签图,diagram_to_draw,ready,E:\11.16\thesis_writing_repo\figures\ch4\diagrams\CH4-F03_time_gated_window_label.png,,E:\11.16\script2_new\dataset\processor.py,Codex,显示 start_hour duration_h overlap ratio
CH4-F04,4,Slide 4-4,4.2/4.3,模型输出头到评价指标计算链条图,diagram_to_draw,ready,E:\11.16\thesis_writing_repo\figures\ch4\diagrams\CH4-F04_output_heads_to_metrics.png,,E:\11.16\thesis_writing_repo\chapters\ch4_task_metric_definition.md,Codex,对应 logits_has_defect logits_node logits_defect_type
CH4-F05,4,Slide 4-5,4.2,hydraulic_inverse_deepattn 模型结构图,diagram_to_draw,ready,E:\11.16\thesis_writing_repo\figures\ch4\diagrams\CH4-F05_model_architecture.png,,E:\11.16\script2_new\models\anomaly_detection_model.py,Codex,脚本生成可继续按代码细化
CH4-F06,4,Slide 4-6,4.4,主模型多 seed 稳定性结果图,data_plot_existing,ready,E:\11.16\thesis_writing_repo\figures\ch4\data_plots\CH4-F06_main_model_multiseed.png,E:\11.16\thesis_writing_repo\figures\ch4\source_data\CH4-F06_main_model_multiseed.csv,E:\11.16\script2_new\chapter4_diagnosis_model\outputs\thesis_results\figures\fig_ch4_main_multiseed.png,Codex,可直接插入 PPT
CH4-F07,4,Slide 4-7,4.4,窗口级与场景级诊断结果对比图,data_plot_existing,ready,E:\11.16\thesis_writing_repo\figures\ch4\data_plots\CH4-F07_timeline_case.png,E:\11.16\thesis_writing_repo\figures\ch4\source_data\CH4-F07_task_level_results_summary.csv,E:\11.16\script2_new\chapter4_diagnosis_model\outputs\thesis_results\figures\fig_ch4_timeline_case.png,Codex,若正文使用建议另绘表格或案例时间线
CH4-F08,4,Slide 4-8,4.4,模型结构多 seed 对比图,data_plot_existing,ready,E:\11.16\thesis_writing_repo\figures\ch4\data_plots\CH4-F08_model_comparison_multiseed.png,E:\11.16\thesis_writing_repo\figures\ch4\source_data\CH4-F08_model_comparison_multiseed_summary.csv,E:\11.16\script2_new\chapter4_diagnosis_model\outputs\thesis_results\figures\fig_ch4_model_comparison_multiseed.png,Codex,可直接插入 PPT
CH4-F09a,4,Backup/正文附图,4.5,场景级时间边界审查图,data_plot_existing,ready,E:\11.16\thesis_writing_repo\figures\ch4\data_plots\CH4-F09a_time_boundary_audit.png,E:\11.16\thesis_writing_repo\figures\ch4\source_data\CH4-F09a_time_boundary_audit_summary.csv,E:\11.16\script2_new\chapter4_diagnosis_model\outputs\thesis_results\figures\fig_ch4_time_boundary_audit.png,Codex,建议放备答或正文小节
CH4-F09b,4,Slide 4-9,4.5,窗口长度对时间与空间指标的影响图,data_plot_existing,ready,E:\11.16\thesis_writing_repo\figures\ch4\data_plots\CH4-F09b_time_window_length_tradeoff.png,E:\11.16\thesis_writing_repo\figures\ch4\source_data\CH4-F09b_time_window_length_eval_summary.csv,E:\11.16\script2_new\chapter4_diagnosis_model\outputs\thesis_results\time_window_length_eval\chapter4_time_window_length_tradeoff.png,Codex,用于解释 6h 与短窗口的任务尺度差异
CH4-F10a,4,Slide 4-10,4.5,I/E 类型分组定位结果图,data_plot_existing,ready,E:\11.16\thesis_writing_repo\figures\ch4\data_plots\CH4-F10a_ie_type_group.png,E:\11.16\thesis_writing_repo\figures\ch4\source_data\CH4-F10a_ie_type_group_summary.csv,E:\11.16\script2_new\chapter4_diagnosis_model\outputs\thesis_results\figures\fig_ch4_ie_type_group.png,Codex,注意表述为分组定位分析
CH4-F10b,4,Slide 4-10,4.5,direct/near/far 可观测性分析图,data_plot_existing,ready,E:\11.16\thesis_writing_repo\figures\ch4\data_plots\CH4-F10b_observability_analysis.png,E:\11.16\thesis_writing_repo\figures\ch4\source_data\CH4-F10b_nodehold_observability_summary.csv,E:\11.16\script2_new\chapter4_diagnosis_model\outputs\thesis_results\figures\fig_ch4_observability_analysis.png,Codex,可与候选节点机制一起讲
CH4-F11,4,Slide 4-11,4.5/5.1,第4章到第5章衔接图,diagram_to_draw,ready,E:\11.16\thesis_writing_repo\figures\ch4\diagrams\CH4-F11_ch4_to_ch5_bridge.png,,E:\11.16\thesis_writing_repo\chapters\ch5_layout_optimization.md,Codex,固定 V/C/模型协议 优化 S
CH4-F12,4,Backup/正文附图,4.5,scenario split 与 node_holdout 泛化边界图,data_plot_existing,ready,E:\11.16\thesis_writing_repo\figures\ch4\data_plots\CH4-F12_split_vs_nodehold.png,E:\11.16\thesis_writing_repo\figures\ch4\source_data\CH4-F10b_nodehold_observability_summary.csv,E:\11.16\script2_new\chapter4_diagnosis_model\outputs\thesis_results\figures\fig_ch4_split_vs_nodehold.png,Codex,建议作为备答图或正文泛化边界图
CH3-S01,3,Part 3,3.1,研究子区或 SWMM 管网建模界面截图,screenshot_needed,waiting,E:\11.16\thesis_writing_repo\figures\ch3\screenshots_needed\CH3-S01_swmm_network_view.png,,SWMM/QGIS/已有工程界面,User,你截图后放入该路径
CH3-S02,3,Part 3,3.4,PySWMM 批量仿真输出目录或运行日志截图,screenshot_needed,optional,E:\11.16\thesis_writing_repo\figures\ch3\screenshots_needed\CH3-S02_pyswmm_batch_output.png,,本地仿真输出界面,User,用于汇报时增强过程可信度
CH4-S01,4,Slide 4-2,4.2,监测节点与候选节点在管网中的空间分布截图,screenshot_needed,waiting,E:\11.16\thesis_writing_repo\figures\ch4\screenshots_needed\CH4-S01_monitor_candidate_network_map.png,,SWMM/QGIS/管网可视化,User,这是最值得你自己截图的一张
CH5-F02,5,Part 5,5.2,第5章核心实验结果矩阵,data_plot_to_make,data_ready,E:\11.16\thesis_writing_repo\figures\ch5\data_plots\CH5-F02_core_result_matrix.png,E:\11.16\thesis_writing_repo\figures\ch5\source_data\CH5-F02_core_result_matrix_thesis.csv,E:\11.16\script2_new\chapter5_layout_optimization\outputs\ch5_core_result_matrix_thesis.csv,Codex,后续可统一重绘
CH5-F04,5,Part 5,5.4,第5章布局方案多 seed 对比图,data_plot_to_make,data_ready,E:\11.16\thesis_writing_repo\figures\ch5\data_plots\CH5-F04_layout_multiseed_comparison.png,E:\11.16\thesis_writing_repo\figures\ch5\source_data\CH5-F04_main_results_seed_summary.csv,E:\11.16\script2_new\chapter5_layout_optimization\outputs\ch5_thesis_main_results_seed_summary.csv,Codex,后续可生成均值误差图
GEN-CH4-01,4,Slide 4-0,4.0,第4章标题页概念背景图,imagegen_asset,prompt_ready,E:\11.16\thesis_writing_repo\figures\ch4\generated_assets\GEN-CH4-01_diagnosis_background.png,,E:\11.16\thesis_writing_repo\figures\imagegen_prompts.md,Codex,仅作标题页背景或淡化视觉图
GEN-CH5-01,5,Part 5,5.0,第5章布局优化概念背景图,imagegen_asset,prompt_ready,E:\11.16\thesis_writing_repo\figures\ch5\generated_assets\GEN-CH5-01_layout_background.png,,E:\11.16\thesis_writing_repo\figures\imagegen_prompts.md,Codex,仅作标题页背景或章节过渡图
