method,method_group,split,budget,seed,tag,training_target_scope,metrics_file,mrr,top1,top3,top5,event_level_top1,event_level_top3,event_level_top5
learnable_layout_network_v0_2_clean_scenario,historical_feedback_layout,scenario,25,7,ch5_thesis_learnable_layout_network_v0_2_clean_scenario_scen_N25_s7,clean_scenario_only,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_learnable_layout_network_v0_2_clean_scenario_scen_N25_s7.json,0.8534741644675915,0.7671794871794871,0.9394871794871795,0.9958974358974358,0.8412698412698413,0.9841269841269841,1.0
learnable_layout_network_v0_2_clean_scenario,historical_feedback_layout,scenario,25,42,ch5_llnv02clean_scen_N25_s42,clean_scenario_only,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_llnv02clean_scen_N25_s42.json,0.881350179536479,0.7852975495915986,0.9801633605600933,0.9941656942823804,0.8571428571428571,0.9841269841269841,1.0
learnable_layout_network_v0_2_clean_scenario,historical_feedback_layout,scenario,25,123,ch5_thesis_learnable_layout_network_v0_2_clean_scenario_scen_N25_s123,clean_scenario_only,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_learnable_layout_network_v0_2_clean_scenario_scen_N25_s123.json,0.8626416040899975,0.7650273224043715,0.9562841530054644,0.9901639344262295,0.7777777777777778,0.9682539682539683,0.9841269841269841
learnable_layout_network_v0_2_generalization,historical_feedback_layout,scenario,25,7,ch5_thesis_learnable_layout_network_v0_2_generalization_scen_N25_s7,historical_feedback_generalization,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_learnable_layout_network_v0_2_generalization_scen_N25_s7.json,0.8730854730117016,0.7753846153846153,0.9743589743589745,0.997948717948718,0.7936507936507936,0.984126984126984,1.0
learnable_layout_network_v0_2_generalization,historical_feedback_layout,scenario,25,42,ch5_llnv02_gen_scen_N25_s42,historical_feedback_generalization,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_llnv02_gen_scen_N25_s42.json,0.9165435033473278,0.8424737456242707,0.9906651108518086,0.998833138856476,0.8888888888888888,0.984126984126984,1.0
learnable_layout_network_v0_2_generalization,historical_feedback_layout,scenario,25,123,ch5_thesis_learnable_layout_network_v0_2_generalization_scen_N25_s123,historical_feedback_generalization,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_learnable_layout_network_v0_2_generalization_scen_N25_s123.json,0.8754696940789457,0.7770491803278688,0.989071038251366,0.9989071038251366,0.7936507936507936,1.0,1.0
learnable_layout_network_v2_2_clean_generalization,surrogate_aware_layout,scenario,25,7,ch5_thesis_learnable_layout_network_v2_2_clean_generalization_scen_N25_s7,historical_feedback_generalization,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_learnable_layout_network_v2_2_clean_generalization_scen_N25_s7.json,0.8404203392909123,0.7353846153846154,0.9415384615384615,0.9805128205128204,0.7777777777777778,0.984126984126984,1.0
learnable_layout_network_v2_2_clean_generalization,surrogate_aware_layout,scenario,25,42,ch5_llnv22clean_gen_scen_N25_s42,historical_feedback_generalization,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_llnv22clean_gen_scen_N25_s42.json,0.9243013593112852,0.8693115519253208,0.9836639439906651,0.9941656942823804,0.8571428571428571,0.984126984126984,1.0
learnable_layout_network_v2_2_clean_generalization,surrogate_aware_layout,scenario,25,123,ch5_thesis_learnable_layout_network_v2_2_clean_generalization_scen_N25_s123,historical_feedback_generalization,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_learnable_layout_network_v2_2_clean_generalization_scen_N25_s123.json,0.8920582949463787,0.8163934426229508,0.980327868852459,1.0,0.8571428571428571,0.984126984126984,1.0
candidate_observability,task_driven_baseline,scenario,25,7,ch5_thesis_candidate_observability_scen_N25_s7,not_applicable,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s7.json,0.8514672492100642,0.7702564102564102,0.9117948717948718,0.9476923076923076,0.7936507936507936,0.9365079365079364,0.9682539682539684
candidate_observability,task_driven_baseline,scenario,25,42,ch5_firstcmp_candidate_observability_N25_s42,not_applicable,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,0.909694677194887,0.8413068844807468,0.9801633605600932,0.9964994165694282,0.9206349206349206,1.0,1.0
candidate_observability,task_driven_baseline,scenario,25,123,ch5_thesis_candidate_observability_scen_N25_s123,not_applicable,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_candidate_observability_scen_N25_s123.json,0.8380995461849567,0.7366120218579235,0.9245901639344264,0.9650273224043716,0.8095238095238095,0.9523809523809524,1.0
degree,topology_baseline,scenario,25,7,ch5_thesis_degree_scen_N25_s7,not_applicable,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_degree_scen_N25_s7.json,0.764381604439173,0.6328205128205128,0.8707692307692307,0.9117948717948718,0.6349206349206349,0.9047619047619048,0.9365079365079364
degree,topology_baseline,scenario,25,42,ch5_firstcmp_degree_N25_s42,not_applicable,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025672,0.7301587301587301,0.9365079365079364,0.984126984126984
degree,topology_baseline,scenario,25,123,ch5_thesis_degree_scen_N25_s123,not_applicable,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_degree_scen_N25_s123.json,0.7757171478102116,0.6229508196721312,0.946448087431694,0.9846994535519126,0.6190476190476191,0.9682539682539684,1.0
two_stage_balanced_layout_v1,two_stage_framework,scenario,25,7,ch5_thesis_two_stage_balanced_layout_v1_scen_N25_s7,not_applicable,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_two_stage_balanced_layout_v1_scen_N25_s7.json,0.8418709582548876,0.7353846153846154,0.9323076923076924,0.9774358974358974,0.7619047619047619,0.9523809523809524,0.984126984126984
two_stage_balanced_layout_v1,two_stage_framework,scenario,25,42,ch5_tsbal25_s42,not_applicable,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_tsbal25_s42.json,0.8848815990509759,0.8133022170361727,0.9521586931155192,0.9836639439906651,0.8253968253968254,0.9682539682539684,1.0
two_stage_balanced_layout_v1,two_stage_framework,scenario,25,123,ch5_thesis_two_stage_balanced_layout_v1_scen_N25_s123,not_applicable,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_thesis_two_stage_balanced_layout_v1_scen_N25_s123.json,0.8876394329175271,0.7945355191256831,0.989071038251366,0.9901639344262296,0.7777777777777778,0.984126984126984,1.0
