method_short,method,duration_h,seed_count,scenario_count_mean,scenario_count_min,scenario_count_max,scenario_mrr_mean,scenario_mrr_std_across_seed,scenario_top1_mean,scenario_top1_std_across_seed,scenario_top3_mean,scenario_top3_std_across_seed,scenario_top5_mean,scenario_top5_std_across_seed
Cand-Obs,candidate_observability,6,3,16.333333333333332,14,18,0.8401932883142034,0.015139082741247893,0.7467735242245047,0.011080865415856482,0.9092021993982778,0.028919048502881912,0.953242037555763,0.021896399960796172
Cand-Obs,candidate_observability,12,3,12.666666666666666,11,16,0.8974244610608247,0.05971443086290098,0.842645202020202,0.07921832158622637,0.9467401285583104,0.05715146982650863,0.9896694214876033,0.017893086855050342
Cand-Obs,candidate_observability,18,3,19.666666666666668,16,22,0.8571903914769012,0.06966590482275714,0.7748119618217658,0.1116123424783083,0.9219781852134794,0.036800349883745885,0.9658574540927481,0.03455425941142893
Cand-Obs,candidate_observability,24,3,14.333333333333334,13,17,0.8673814459513521,0.0236848358533734,0.769635167333377,0.04428364273120151,0.9617629102923221,0.029802537795007487,0.9727249874308698,0.02428860427132326
Degree,degree,6,3,16.333333333333332,14,18,0.7408352117502445,0.03758732717617278,0.5920271812428676,0.029953336057176202,0.8870214752567693,0.10168379100761998,0.9382716049382717,0.09134968263548605
Degree,degree,12,3,12.666666666666666,11,16,0.804048360672844,0.09718669587930652,0.6673745026017753,0.14982769149273284,0.9506427915518825,0.05141973701905539,0.9735996326905418,0.03934872217909166
Degree,degree,18,3,19.666666666666668,16,22,0.7451277013849861,0.0257329376333848,0.6071225796715992,0.04535262963133383,0.8575439266615738,0.05669124770107303,0.9386183850644635,0.05300958266316286
Degree,degree,24,3,14.333333333333334,13,17,0.7996676187869897,0.05307365255771115,0.6642457428902442,0.069045357617302,0.9299606687714105,0.06087635958962325,0.9534341049686318,0.040345739953722606
Two-stage v1,two_stage_balanced_layout_v1,6,3,16.333333333333332,14,18,0.818250201315094,0.07031198838592953,0.7110177404295052,0.09816252083147232,0.9111941072725386,0.07335429101267396,0.9698360825811806,0.035737276297533045
Two-stage v1,two_stage_balanced_layout_v1,12,3,12.666666666666666,11,16,0.8725721546270787,0.07209992649602316,0.7843826522803795,0.11863496745170897,0.9393939393939394,0.09848484848484847,0.9974747474747474,0.004373865675679027
Two-stage v1,two_stage_balanced_layout_v1,18,3,19.666666666666668,16,22,0.8661782725209136,0.007380573847318913,0.7675313475558573,0.016727450743254088,0.968299062049062,0.02376451558124964,0.9856752044252044,0.005534670177976713
Two-stage v1,two_stage_balanced_layout_v1,24,3,14.333333333333334,13,17,0.8839656033347012,0.042037820206139144,0.8026806597778465,0.06684956215641347,0.9616461969403146,0.034412017996644284,0.9795888254967539,0.01836355040089144
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,6,3,16.333333333333332,14,18,0.8206046223203085,0.011899455308747437,0.7024846975827369,0.021240024898149083,0.9453833385205934,0.00610133593459848,0.9852733686067019,0.012869040299885044
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,12,3,12.666666666666666,11,16,0.9222888608305276,0.0565035601237191,0.8676872895622895,0.08444393290116702,0.9636994949494949,0.05410449299625118,1.0,0.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,18,3,19.666666666666668,16,22,0.863090761697496,0.04369324482997689,0.7726057847381377,0.06596076490107686,0.9462817955465015,0.042048171888412464,0.9906605739939073,0.011892203921885997
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,24,3,14.333333333333334,13,17,0.8561013693846174,0.028351674982328857,0.7460711709432938,0.035601073908867506,0.9764086794137944,0.02221795078734701,0.9966422466422467,0.0058157994149138645
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,6,3,16.333333333333332,14,18,0.86100303196475,0.05743709760854214,0.7648200020749041,0.09888427893932773,0.9608361863263825,0.030306075975597487,0.9889770723104055,0.012002343552748037
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,12,3,12.666666666666666,11,16,0.858690155067996,0.09965756004808349,0.7752333945515764,0.14524344020150587,0.9392361111111112,0.07859325542418444,0.9924242424242425,0.013121597027036937
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,18,3,19.666666666666668,16,22,0.8911349813962248,0.022561398790426946,0.8197188976600742,0.03678168649169205,0.9631955054749173,0.02170636834195153,0.9882281616350245,0.012504620386572718
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,24,3,14.333333333333334,13,17,0.8922713367353179,0.0646993892078408,0.8088426563490502,0.11076589615636816,0.9872423328305681,0.016545482827455417,0.9948466566113625,0.006355494655654322
