method_short,method,seed,observability_tier_layout,scenario_count,row_count,window_count,scenario_mrr_mean,scenario_mrr_std,scenario_top1_mean,scenario_top3_mean,scenario_top5_mean
Cand-Obs,candidate_observability,7,direct,22,22,385,0.922231067987142,0.15867122652546153,0.8712250381048335,0.9733363042186571,0.9903817587641117
Cand-Obs,candidate_observability,7,far,1,1,12,1.0,,1.0,1.0,1.0
Cand-Obs,candidate_observability,7,near,40,40,578,0.7990686233158792,0.27136176764015174,0.6956330176998335,0.8690155228758171,0.9242238562091503
Cand-Obs,candidate_observability,42,direct,19,19,282,0.8803705918837498,0.18644464358372878,0.7828017012227538,0.987280701754386,0.9894736842105264
Cand-Obs,candidate_observability,42,near,44,44,575,0.9167816100968275,0.14031350008342175,0.8603668674320848,0.9668470418470417,0.9924242424242423
Cand-Obs,candidate_observability,123,direct,26,26,407,0.8912867225367225,0.17024523877326705,0.8296176046176046,0.9503205128205128,0.9626068376068376
Cand-Obs,candidate_observability,123,near,37,37,508,0.7994582868539225,0.26990217508222053,0.6742926081161376,0.8945399945399946,0.966837291837292
Degree,degree,7,direct,20,20,309,0.8302648508898509,0.2441081671751339,0.7442857142857143,0.875,0.913888888888889
Degree,degree,7,far,20,20,306,0.7162682850918145,0.2325937958371636,0.4934232026143791,0.9484477124183007,0.9930555555555556
Degree,degree,7,near,23,23,360,0.7111410361569935,0.36392502963765444,0.60731031543052,0.7614734299516909,0.8169934640522876
Degree,degree,42,direct,21,21,289,0.7777257440818517,0.2593314002618888,0.6539370337506983,0.8552532123960694,0.9523809523809523
Degree,degree,42,far,18,18,240,0.601911159995399,0.27521281689189536,0.3600040257648953,0.8598027375201288,0.9394122383252819
Degree,degree,42,near,24,24,328,0.9669560185185185,0.10393491059896523,0.9355324074074075,0.9982638888888888,1.0
Degree,degree,123,direct,15,15,200,0.7617283950617284,0.2867054465199617,0.6018518518518517,0.9592592592592593,1.0
Degree,degree,123,far,22,22,336,0.6294349747474747,0.2548193922385962,0.38636363636363635,0.9166666666666667,0.9823232323232323
Degree,degree,123,near,26,26,379,0.8805782671312975,0.18482277003982991,0.796037296037296,0.9593628593628594,0.973115773115773
Two-stage v1,two_stage_balanced_layout_v1,7,direct,21,21,320,0.8081301280576642,0.24874245126328742,0.7051743402675079,0.8875661375661376,0.9444444444444444
Two-stage v1,two_stage_balanced_layout_v1,7,far,1,1,24,1.0,,1.0,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,7,near,41,41,631,0.8354683340788388,0.23821286710722372,0.7239171278267404,0.9222802942315137,0.9852421350300459
Two-stage v1,two_stage_balanced_layout_v1,42,direct,24,24,319,0.8047669392721476,0.27023905785789315,0.7018518518518518,0.8738425925925926,0.9722222222222222
Two-stage v1,two_stage_balanced_layout_v1,42,near,39,39,538,0.9132263826708271,0.17144824286166496,0.8459096459096458,0.9902319902319903,0.9971509971509971
Two-stage v1,two_stage_balanced_layout_v1,123,direct,25,25,367,0.9002647105980439,0.16165211420143033,0.8215656565656566,0.9822222222222223,0.9844444444444445
Two-stage v1,two_stage_balanced_layout_v1,123,far,1,1,18,0.8518518518518519,,0.7222222222222222,1.0,1.0
Two-stage v1,two_stage_balanced_layout_v1,123,near,37,37,530,0.8713963963963964,0.18652042849446854,0.7647897897897897,0.9932432432432432,0.9932432432432432
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,direct,14,14,213,0.9672619047619048,0.05226686674309238,0.9454365079365079,0.994047619047619,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,far,16,16,278,0.7720774247198879,0.3078649514343758,0.6623774509803921,0.8642769607843137,0.9722222222222222
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,7,near,33,33,484,0.8422779637400268,0.21996791958262582,0.7353436324024559,0.9506833036244802,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,direct,14,14,199,0.8933010226488488,0.14068857044004018,0.7977131564088086,0.9880952380952381,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,far,14,14,178,0.8150275865726176,0.23359055146028987,0.6872843340234646,0.961516563146998,0.9827380952380952
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,42,near,35,35,480,0.8890657760688817,0.16774338285577695,0.8064305432317855,0.9727940451542937,0.992687074829932
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,direct,20,20,314,0.8396538800705468,0.21955980639682604,0.7409722222222223,0.9388888888888889,0.975
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,far,9,9,137,0.8614439603001695,0.22631012985507673,0.7345679012345678,0.9938271604938271,1.0
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,123,near,34,34,464,0.8664176781823841,0.2228995171100588,0.7716153127917833,0.9509803921568628,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,direct,15,15,255,0.8450121900612096,0.2268768017009338,0.7557734204793028,0.9121459694989107,0.9526143790849673
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,far,2,2,11,1.0,0.0,1.0,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,7,near,46,46,709,0.8344886031911125,0.23572159491526049,0.7227710617958588,0.945900824097755,0.9868748223927252
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,direct,13,13,211,0.8976560476560477,0.1414094423795477,0.8271367521367522,0.9775641025641026,0.9967948717948718
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,far,2,2,29,1.0,0.0,1.0,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,42,near,48,48,617,0.8914620853404066,0.18099346630896967,0.814150204163791,0.9664351851851851,0.9930555555555555
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,direct,17,17,290,0.8971491879580116,0.13327473520054606,0.8118092691622103,0.997549019607843,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,far,3,3,48,0.9783950617283951,0.037420850780809055,0.9629629629629629,1.0,1.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,123,near,43,43,577,0.8862726098191215,0.22108251158934952,0.8145994832041343,0.9715762273901809,1.0
