method_short,method,observability_tier_layout,seed_count,scenario_count_mean,scenario_count_min,scenario_count_max,scenario_mrr_mean,scenario_mrr_std_across_seed,scenario_top1_mean,scenario_top1_std_across_seed,scenario_top3_mean,scenario_top3_std_across_seed,scenario_top5_mean,scenario_top5_std_across_seed
Cand-Obs,candidate_observability,direct,3,22.333333333333332,19,26,0.8979627941358714,0.0217141040316747,0.8278814479817306,0.044237227605701694,0.9703125062645186,0.01866471020555876,0.9808207601938252,0.01578025290837571
Cand-Obs,candidate_observability,far,1,1.0,1,1,1.0,,1.0,,1.0,,1.0,
Cand-Obs,candidate_observability,near,3,40.333333333333336,37,44,0.8384361734222097,0.06784941816420109,0.7434308310826854,0.10183015623149673,0.9101341864209512,0.050745794321986344,0.9611617968235615,0.0344525993607172
Degree,degree,direct,3,18.666666666666668,15,21,0.7899063300111436,0.035855075645655744,0.6666915332960882,0.07206843439361738,0.8965041572184429,0.05523708925426503,0.9554232804232804,0.043136094910589444
Degree,degree,far,3,20.0,18,22,0.6492048066115627,0.0596868721246979,0.41326362158097024,0.07066028652162433,0.9083057055350321,0.04491004505628903,0.9715970087346899,0.028384683813995483
Degree,degree,near,3,24.333333333333332,23,26,0.8528917739356032,0.13013543994340382,0.7796266729584079,0.16472527683327504,0.9063667260678131,0.12697981323459237,0.9300364123893535,0.09881660559006807
Two-stage v1,two_stage_balanced_layout_v1,direct,3,23.333333333333332,21,25,0.8377205926426186,0.05419089201903191,0.7428639495616721,0.06817791978583543,0.9145436507936507,0.05901165727735001,0.967037037037037,0.02049791718818036
Two-stage v1,two_stage_balanced_layout_v1,far,2,1.0,1,1,0.9259259259259259,0.10475656017578482,0.8611111111111112,0.19641855032959657,1.0,0.0,1.0,0.0
Two-stage v1,two_stage_balanced_layout_v1,near,3,39.0,37,41,0.8733637043820207,0.03891633661768836,0.778205521175392,0.06209291427779801,0.9685851759022491,0.04012945876884026,0.9918787918080954,0.006070547342959604
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,direct,3,16.0,14,20,0.9000722691604334,0.06407292193975585,0.8280406288558462,0.10555201429595087,0.9736772486772486,0.030274249657486874,0.9916666666666667,0.014433756729740673
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,far,3,13.0,9,16,0.8161829905308916,0.04469446989433397,0.6947432287461415,0.03666867341257567,0.9398735614750463,0.06743239727477275,0.9849867724867725,0.014024751213281486
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,near,3,34.0,33,35,0.8659204726637642,0.023397868612885325,0.7711298294753416,0.035545942009632694,0.958152580311879,0.01268075056720892,0.9975623582766441,0.004222119315502341
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,direct,3,15.0,13,17,0.8799391418917564,0.0302486892247973,0.7982398139260884,0.037566991666443214,0.9624196972236189,0.04467029216173608,0.9831364169599462,0.026481395520894867
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,far,3,2.3333333333333335,2,3,0.992798353909465,0.01247361692693635,0.9876543209876543,0.021383343303319487,1.0,0.0,1.0,0.0
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,near,3,45.666666666666664,43,48,0.8707410994502135,0.031502623348042096,0.7838402497212614,0.05288794520791221,0.9613040788910404,0.013585020147520539,0.9933101259827603,0.0065662909151538796
