method_short,method,evidence_group,seed,monitor_budget_n,mrr,top1,top3,top5,event_mrr_mean,event_top1,event_top3,event_top5
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,formal_clean_all_seeds,7,25,0.8534741644675915,0.7671794871794871,0.9394871794871796,0.9958974358974358,0.8522234645334248,0.763499844382197,0.938375350140056,0.9929453262786596
Cand-Obs,candidate_observability,formal_clean_all_seeds,7,25,0.8514672492100642,0.7702564102564102,0.9117948717948718,0.9476923076923076,0.8452671179103538,0.7617820880365029,0.9075241207594148,0.9485294117647056
Two-stage v1,two_stage_balanced_layout_v1,formal_clean_all_seeds,7,25,0.8418709582548876,0.7353846153846154,0.9323076923076924,0.9774358974358974,0.8289672124832275,0.722051799785937,0.9119425547996978,0.9718771566597654
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,formal_clean_all_seeds,7,25,0.8404203392909123,0.7353846153846154,0.9415384615384615,0.9805128205128204,0.8422485491699889,0.7394296849174454,0.9395813881107998,0.979134246291109
Degree,degree,formal_clean_all_seeds,7,25,0.764381604439173,0.6328205128205128,0.8707692307692307,0.9117948717948718,0.750585818273717,0.6146399300460926,0.856870525988173,0.903646643842722
embedding-guided clean,embedding_guided_clean,embedding_guided_probe_all_seeds,7,25,0.7565075167478659,0.6451282051282051,0.8276923076923077,0.8984615384615384,0.769415182385572,0.6825396825396826,0.8571428571428571,0.9365079365079365
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,formal_clean_all_seeds,42,25,0.9243013593112852,0.8693115519253208,0.9836639439906651,0.9941656942823804,0.8961858526328276,0.8227299615498375,0.9697971781305116,0.9940476190476192
Cand-Obs,candidate_observability,formal_clean_all_seeds,42,25,0.909694677194887,0.8413068844807468,0.9801633605600932,0.9964994165694282,0.9058005093658992,0.836974198257842,0.97300957420005,0.9915343915343916
Two-stage v1,two_stage_balanced_layout_v1,formal_clean_all_seeds,42,25,0.8848815990509759,0.8133022170361727,0.9521586931155192,0.9836639439906651,0.8719084994713302,0.7910304862685812,0.9458931720836482,0.9876543209876542
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,formal_clean_all_seeds,42,25,0.881350179536479,0.7852975495915986,0.9801633605600932,0.9941656942823804,0.8735540109763711,0.7780164107803859,0.9736882031395488,0.992101284958428
embedding-guided clean,embedding_guided_clean,embedding_guided_probe_all_seeds,42,25,0.8797382980480772,0.7969661610268378,0.9521586931155193,0.9848308051341891,0.8530121555527006,0.7936507936507936,0.9841269841269841,1.0
Degree,degree,formal_clean_all_seeds,42,25,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025672,0.799580729366357,0.677230602385882,0.9110333344287797,0.9668161950770646
v2_2 clean,learnable_layout_network_v2_2_clean_generalization,formal_clean_all_seeds,123,25,0.8920582949463787,0.8163934426229508,0.980327868852459,1.0,0.8935943428998985,0.8209114959114958,0.9799382716049384,1.0
Two-stage v1,two_stage_balanced_layout_v1,formal_clean_all_seeds,123,25,0.8876394329175271,0.7945355191256831,0.989071038251366,0.9901639344262296,0.8825418457693591,0.7866442199775533,0.9889770723104055,0.9898589065255732
v0_2 clean,learnable_layout_network_v0_2_clean_scenario,formal_clean_all_seeds,123,25,0.8626416040899975,0.7650273224043715,0.9562841530054644,0.9901639344262296,0.8572107032113256,0.7565948601662886,0.9532627865961198,0.992063492063492
embedding-guided clean,embedding_guided_clean,embedding_guided_probe_all_seeds,123,25,0.861399085404443,0.7715846994535519,0.940983606557377,0.9956284153005465,0.8481628135728662,0.7619047619047619,0.9523809523809523,1.0
Cand-Obs,candidate_observability,formal_clean_all_seeds,123,25,0.8380995461849567,0.7366120218579235,0.9245901639344264,0.9650273224043716,0.8373557365007923,0.7383949876246794,0.9175605258938592,0.96509139009139
Degree,degree,formal_clean_all_seeds,123,25,0.7757171478102116,0.6229508196721312,0.946448087431694,0.9846994535519126,0.7645798462822874,0.6067420234086903,0.9444284110950776,0.9827320827320828
