step,node_id,node_index,is_candidate,selection_score,score_type,min_distance_to_previous_selected
1,MH0201710,120,True,0.2201803922653198,distance_to_embedding_mean,
2,HS1314268,56,False,0.3380409777164459,max_min_embedding_distance,0.3380409777164459
3,HS1314512,59,False,0.2591594755649566,max_min_embedding_distance,0.2591594755649566
4,HS1306554,2,True,0.2510806322097778,max_min_embedding_distance,0.2510806322097778
5,HS1306471,1,True,0.176715150475502,max_min_embedding_distance,0.176715150475502
6,HS1311475,15,False,0.1688485294580459,max_min_embedding_distance,0.1688485294580459
7,HS2003014,105,False,0.1638154238462448,max_min_embedding_distance,0.1638154238462448
8,HS1311288,11,True,0.1393060237169265,max_min_embedding_distance,0.1393060237169265
9,HS1344261,100,True,0.135878637433052,max_min_embedding_distance,0.135878637433052
10,HS1308301,7,False,0.1332998722791671,max_min_embedding_distance,0.1332998722791671
11,HS1344166,99,False,0.1278273612260818,max_min_embedding_distance,0.1278273612260818
12,HS1316677,83,False,0.1156587153673172,max_min_embedding_distance,0.1156587153673172
13,MH0242303,123,False,0.1149604320526123,max_min_embedding_distance,0.1149604320526123
14,HS1316334,67,False,0.1113770604133606,max_min_embedding_distance,0.1113770604133606
15,HS1316417,71,True,0.1054467782378196,max_min_embedding_distance,0.1054467782378196
16,HS1316207,64,False,0.1025745868682861,max_min_embedding_distance,0.1025745868682861
17,HS1313534,38,False,0.0999308452010154,max_min_embedding_distance,0.0999308452010154
18,HS1316396,69,False,0.0960990935564041,max_min_embedding_distance,0.0960990935564041
19,HS1316554,76,False,0.0960801839828491,max_min_embedding_distance,0.0960801839828491
20,HS1316530,74,False,0.0928229838609695,max_min_embedding_distance,0.0928229838609695
21,HS1308324,9,False,0.0913493111729621,max_min_embedding_distance,0.0913493111729621
22,HS1316892,92,False,0.0881825983524322,max_min_embedding_distance,0.0881825983524322
23,HS1316726,86,False,0.0846493691205978,max_min_embedding_distance,0.0846493691205978
24,HS1316671,81,False,0.0803500935435295,max_min_embedding_distance,0.0803500935435295
25,HS1330842,97,True,0.0786888524889946,max_min_embedding_distance,0.0786888524889946
